Item;Grupo;ICMS na gôndola (%);Base legal
Leite produzido em MS;Cesta básica;0.0;Anexo I, art. 30 — isento
Carne bovina e bubalina;Carnes;4.0;Decreto 12.056/2006, art. 7º (redução de base de 76,471%)
Arroz;Cesta básica;7.0;Anexo I, art. 52 (redução de base de 58,824%)
Banha de porco;Cesta básica;7.0;Anexo I, art. 52
Café torrado e moído;Cesta básica;7.0;Anexo I, art. 52
Carne suína;Carnes;7.0;Decreto 12.056/2006, art. 8º
Erva-mate e chá mate;Cesta básica;7.0;Anexo I, art. 52
Farinha de mandioca;Cesta básica;7.0;Anexo I, art. 52
Farinha de milho e fubá;Cesta básica;7.0;Anexo I, art. 52
Feijão;Cesta básica;7.0;Anexo I, art. 52
Frango e demais aves;Carnes;7.0;Decreto 12.056/2006, art. 9º
Mel produzido em MS;Cesta básica;7.0;Anexo I, art. 52
Ovos;Hortifrúti;7.0;Anexo I, Subanexo XIII — isento apenas na venda direta do produtor ao consumidor (art. 2º)
Peixe;Cesta básica;7.0;Anexo I, art. 52
Sabonete em barra;Higiene;7.0;Anexo I, art. 52
Sal;Cesta básica;7.0;Anexo I, art. 52
Verduras, legumes e frutas in natura;Hortifrúti;7.0;Anexo I, Subanexo XIII
Vinagre;Cesta básica;7.0;Anexo I, art. 52
Óleo de soja;Cesta básica;7.0;Anexo I, art. 52
Farinha de trigo;Cesta básica;12.0;Anexo I, art. 53, I
Pão francês e pão de forma;Cesta básica;12.0;Anexo I, art. 53, I
Açúcar;Cesta básica;17.0;Sem benefício previsto — alíquota geral do RICMS, art. 41, III, 'a'
Macarrão e massas;Cesta básica;17.0;Sem benefício previsto — alíquota geral do RICMS, art. 41, III, 'a'
