Município;Região;População (2022);PIB (2023, R$);PIB per capita (R$);Receita do município (2024, R$);Receita por habitante (R$);Código IBGE
Campo Grande;Sudeste;898100;42269768000;47066;6172023368;6872;5002704
Dourados;Sudoeste;243367;20257953000;83240;1849580497;7600;5003702
Três Lagoas;Nordeste;132152;14761816000;111703;1365263374;10331;5008305
Corumbá;Noroeste;96268;4187429000;43498;1047198649;10878;5003207
Ponta Porã;Sudoeste;92017;6069790000;65964;743832488;8084;5006606
Naviraí;Sudeste;50457;3670207000;72739;408805780;8102;5005707
Nova Andradina;Sudeste;48563;3568745000;73487;407917693;8400;5006200
Sidrolândia;Sudoeste;47118;4102346000;87065;449627316;9543;5007901
Aquidauana;Noroeste;46803;1437451000;30713;357735762;7643;5001102
Maracaju;Sudoeste;45047;5921262000;131446;432690199;9605;5005400
Paranaíba;Nordeste;40957;2012106000;49127;352011436;8595;5006309
Amambai;Sudoeste;39325;2426261000;61698;298979804;7603;5000609
Rio Brilhante;Sudoeste;37601;3833911000;101963;374279859;9954;5007208
Coxim;Noroeste;32151;1400833000;43570;296885601;9234;5003306
Chapadão do Sul;Nordeste;30993;3329527000;107428;368979049;11905;5002951
Caarapó;Sudoeste;30612;2553085000;83401;265281982;8666;5002407
São Gabriel do Oeste;Nordeste;29579;2883850000;97497;347197833;11738;5007695
Ivinhema;Sudeste;27821;2005469000;72085;270953344;9739;5004700
Aparecida do Taboado;Nordeste;27674;2189222000;79108;273864261;9896;5001003
Costa Rica;Nordeste;26037;3341491000;128336;299016828;11484;5003256
Miranda;Noroeste;25536;782435000;30640;177096563;6935;5005608
Itaporã;Sudoeste;24137;1525654000;63208;172456408;7145;5004502
Anastácio;Sudoeste;24114;783841000;32506;156761310;6501;5000708
Jardim;Sudoeste;23981;1130237000;47131;185471897;7734;5005004
Bonito;Sudoeste;23659;1586577000;67060;265178443;11208;5002209
Ribas do Rio Pardo;Nordeste;23150;3353286000;144850;366287202;15822;5007109
Bataguassu;Sudeste;23031;1841917000;79976;172262905;7480;5001904
Nova Alvorada do Sul;Sudeste;21822;2592615000;118807;206800312;9477;5006002
Bela Vista;Sudoeste;21613;1176300000;54426;183205513;8477;5002100
Ladário;Noroeste;21522;420685000;19547;154682275;7187;5005202
Cassilândia;Nordeste;20988;1059973000;50504;214513664;10221;5002902
Fátima do Sul;Sudeste;20609;769333000;37330;142992372;6938;5003801
Rio Verde de Mato Grosso;Noroeste;19818;926597000;46755;188652117;9519;5007406
Itaquiraí;Sudeste;19423;1546553000;79625;181498638;9345;5004601
Mundo Novo;Sudeste;19193;1018195000;53050;150712089;7852;5005681
Terenos;Noroeste;17652;1348544000;76396;161535408;9151;5008008
Água Clara;Nordeste;16741;1544633000;92266;263801675;15758;5000203
Sonora;Nordeste;14516;1489093000;102583;184793751;12730;5007935
Coronel Sapucaia;Sudoeste;14289;388241000;27171;131628420;9212;5003157
Iguatemi;Sudeste;13808;962593000;69713;137652440;9969;5004304
Deodápolis;Sudeste;13663;712633000;52158;118635802;8683;5003454
