Setor (CNAE);Modalidade;2026 (R$);2027 (R$);2028 (R$)
Indústrias de transformação;Crédito presumido/outorgado;6000595800;6360631500;6729548200
Agricultura, pecuária, produção florestal, pesca e aquicultura;Isenção;2160979700;2290638400;2423495500
Agricultura, pecuária, produção florestal, pesca e aquicultura;Modificação da base de cálculo;925934700;981490800;1038417200
Comércio e reparação de veículos;Modificação da base de cálculo;718223900;761317400;805473800
Indústrias de transformação;Modificação da base de cálculo;707821100;750290400;793807200
Comércio e reparação de veículos;Crédito presumido/outorgado;661891100;701604500;742297600
Comércio e reparação de veículos;Isenção;354606500;375882900;397684100
Indústrias de transformação;Isenção;110007500;116608000;123371200
Indústrias extrativas;Crédito presumido/outorgado;40921700;43377000;45892900
Alojamento e alimentação;Modificação da base de cálculo;35301400;37419400;39589800
Outras atividades de serviços;Crédito presumido/outorgado;32254400;34189600;36172600
Construção;Crédito presumido/outorgado;30631600;32469500;34352700
Outras atividades de serviços;Modificação da base de cálculo;28071300;29755600;31481500
Outras atividades de serviços;Modificação da base de cálculo;23900200;25334200;26803600
Transporte, armazenagem e correio;Crédito presumido/outorgado;21313800;22592600;23903000
Agricultura, pecuária, produção florestal, pesca e aquicultura;Crédito presumido/outorgado;19083700;20228700;21402000
Transporte, armazenagem e correio;Modificação da base de cálculo;12713800;13476700;14258300
Comércio e reparação de veículos;Anistia;10737900;11382100;12042300
Construção;Isenção;9161900;9711600;10274900
Indústrias de transformação;Anistia;9143100;9691700;10253800
Eletricidade e gás;Crédito presumido/outorgado;5451000;5778000;6113100
Transporte, armazenagem e correio;Isenção;4293100;4550700;4814600
Alojamento e alimentação;Isenção;3642700;3861300;4085300
Atividades profissionais, científicas e técnicas;Modificação da base de cálculo;2593900;2749600;2909100
Atividades profissionais, científicas e técnicas;Isenção;2514000;2664900;2819400
Outras atividades de serviços;Crédito presumido/outorgado;2272000;2408400;2548000
Transporte, armazenagem e correio;Anistia;2073100;2197500;2324900
Saúde humana e serviços sociais;Isenção;2027400;2149000;2273600
Educação;Isenção;1767100;1873100;1981700
Indústrias extrativas;Modificação da base de cálculo;1388100;1471400;1556700
Agricultura, pecuária, produção florestal, pesca e aquicultura;Anistia;1314800;1393700;1474500
Informação e comunicação;Isenção;1032500;1094500;1157900
Saúde humana e serviços sociais;Crédito presumido/outorgado;962900;1020700;1079900
Indústrias extrativas;Anistia;915200;970100;1026400
Alojamento e alimentação;Crédito presumido/outorgado;827000;876700;927500
Alojamento e alimentação;Anistia;705400;747800;791100
Construção;Modificação da base de cálculo;516000;546900;578700
Eletricidade e gás;Modificação da base de cálculo;406400;430800;455700
Artes, cultura, esporte e recreação;Anistia;398400;422300;446800
Construção;Anistia;316800;335800;355300
Eletricidade e gás;Isenção;297600;315400;333700
Informação e comunicação;Anistia;255100;270400;286100
Indústrias extrativas;Isenção;204200;216500;229100
Atividades imobiliárias;Isenção;193400;205000;216900
Informação e comunicação;Modificação da base de cálculo;181100;192000;203100
Saúde humana e serviços sociais;Anistia;137400;145600;154000
Atividades profissionais, científicas e técnicas;Anistia;65400;69300;73300
Eletricidade e gás;Anistia;55200;58500;61900
Atividades imobiliárias;Anistia;37000;39200;41500
Artes, cultura, esporte e recreação;Isenção;27500;29200;30900
Água, esgoto e gestão de resíduos;Modificação da base de cálculo;17500;18600;19600
Atividades imobiliárias;Modificação da base de cálculo;14100;14900;15800
Água, esgoto e gestão de resíduos;Isenção;11600;12300;13100
Educação;Anistia;8400;8900;9400
Serviços domésticos;Crédito presumido/outorgado;5100;5500;5800
Atividades financeiras e de seguros;Anistia;2900;3100;3200
Saúde humana e serviços sociais;Modificação da base de cálculo;2300;2400;2600
Água, esgoto e gestão de resíduos;Anistia;1900;2000;2100
